Window_Size,Sample_Count_Mio,Frequency,5%%-Quantile,95%%-Quantile,First_Lower_Outlier,First_Upper_Outlier,Std_Deviation,Mean,0.1%%-Quantile,99.9%%-Quantile,0.01%%-Quantile,99.99%%-Quantile,0.001%%-Quantile,99.999%%-Quantile
70,177,0,1.02114,1.362,0.95114,1.45086,0.10285257001987054,1.1995230812332602,0.86229,1.59086,0.78686,1.79643,0.641,1.98929
70,177,1,0.64475,0.87674,0.59672,0.93738,0.06990518052291728,0.7660306053552375,0.53843,1.02951,0.49228,1.15514,0.40177,1.27075
70,177,2,0.01728,0.14103,,0.17034,0.038412647666526266,0.07008864220093694,0.00227,0.22957,0.00021,0.27261,0.0,0.30988
70,177,3,0.16884,0.35387,0.11118,0.41158,0.05631237239012467,0.2613476165253962,0.08172,0.43918,0.04439,0.47885,0.01849,0.51603
70,177,4,0.01742,0.13535,,0.16689,0.0363400250439689,0.0689233275887079,0.0023,0.20673,0.00021,0.23949,0.0,0.2683
70,177,5,0.07655,0.2555,0.01685,0.31151,0.054228977098579025,0.16468888228191322,0.0161,0.33782,0.00519,0.37364,0.00165,0.40521
70,177,6,0.01777,0.13765,,0.17003,0.036929518912335944,0.07021564274376994,0.00235,0.20928,0.00022,0.2416,0.0,0.27029
70,177,7,0.04418,0.2146,,0.26776,0.05156275447152133,0.1264058161179121,0.00664,0.29566,0.00211,0.33092,0.00067,0.36221
70,177,8,0.01767,0.13711,,0.16924,0.03679226251532327,0.06986763514320818,0.00234,0.20842,0.00022,0.24041,0.0,0.26995
70,177,9,0.03215,0.19186,,0.24139,0.04857093101726372,0.10716777514453152,0.00459,0.27176,0.00146,0.30684,0.00046,0.3385
70,177,10,0.01765,0.1364,,0.16842,0.03659508761839197,0.06959125421399097,0.00237,0.208,0.00039,0.24265,0.0,0.28285
70,177,11,0.0269,0.17814,,0.22406,0.04620334667145834,0.09637526836806078,0.00378,0.25712,0.0012,0.29211,0.00038,0.32426
70,177,12,0.01762,0.13628,,0.16832,0.03655975738579279,0.06952111158522004,0.00233,0.2073,0.00022,0.24067,0.0,0.27786
70,177,13,0.02423,0.16964,,0.21271,0.04454900465004169,0.09001315241115848,0.00339,0.24814,0.00107,0.2831,0.00034,0.31698
70,177,14,0.01777,0.13774,,0.16999,0.03698667521798811,0.07019523056956098,0.00237,0.21043,0.00033,0.24615,0.0,0.29961
70,177,15,0.02291,0.1663,,0.20751,0.04401545001819817,0.08698163383019861,0.00321,0.24646,0.00101,0.2823,0.00032,0.31417
70,177,16,0.01833,0.14221,,0.17554,0.03816115194978453,0.07245978425540466,0.00242,0.21588,0.00023,0.24854,0.0,0.27882
70,177,17,0.02247,0.16682,,0.2076,0.044343782281541004,0.08648774864111512,0.00314,0.24806,0.00099,0.28409,0.00031,0.31819
70,177,18,0.01899,0.14723,,0.18213,0.03947698734035504,0.07510781721602897,0.00251,0.22191,0.00024,0.25526,0.0,0.28847
70,177,19,0.02215,0.16737,,0.20751,0.04462959257783958,0.08609083922051011,0.0031,0.24952,0.00097,0.28456,0.00031,0.31489
70,177,20,0.01899,0.14869,,0.18332,0.03993611662357533,0.07545496392915622,0.00254,0.22464,0.00042,0.25818,0.0,0.29158
70,177,21,0.02138,0.162,,0.20077,0.04324156797852145,0.08325846736699542,0.00299,0.24269,0.00095,0.27745,0.0003,0.30759
70,177,22,0.01837,0.14257,,0.17591,0.03825103637577571,0.0726120545006893,0.00243,0.2165,0.00023,0.24869,0.0,0.27519
70,177,23,0.02056,0.156,,0.19331,0.04169462791791582,0.0801458181038083,0.00288,0.2356,0.0009,0.27428,0.00028,0.32229
70,177,24,0.01798,0.13926,,0.17203,0.03737009371266489,0.07102036486991753,0.00238,0.21206,0.00022,0.24664,0.0,0.28524
70,177,25,0.02008,0.15234,,0.18875,0.04068961618537642,0.0782644245438234,0.00281,0.22909,0.00089,0.26318,0.00028,0.29384
70,177,26,0.01778,0.13746,,0.1698,0.0368614039198378,0.07014554012563631,0.00236,0.2087,0.00022,0.24142,0.0,0.27454
70,177,27,0.01982,0.15041,,0.1864,0.04017313092030677,0.0772697074320454,0.00277,0.22601,0.00087,0.2598,0.00028,0.2898
70,177,28,0.01774,0.13721,,0.16951,0.03684619670263958,0.07001309165205902,0.00237,0.21034,0.00033,0.25075,0.0,0.30028
70,177,29,0.01974,0.15035,,0.18617,0.040191503873507735,0.07710760237954825,0.00277,0.22641,0.00088,0.26008,0.00028,0.28993
70,177,30,0.01778,0.13804,,0.17025,0.03706810485386983,0.0702925448726329,0.00238,0.21085,0.0004,0.24615,0.0,0.29071
70,177,31,0.01955,0.14923,,0.18462,0.03990629236486346,0.07646167384870911,0.00273,0.22515,0.00087,0.25893,0.00027,0.28878
70,177,32,0.01752,0.13593,,0.16775,0.036483122134927964,0.06924279042602892,0.00232,0.20694,0.00022,0.23911,0.0,0.26864
70,177,33,0.01923,0.147,,0.18182,0.039334522167483205,0.07527842292370372,0.00269,0.22226,0.00085,0.25573,0.00027,0.2858
70,177,34,0.0173,0.13481,,0.16612,0.0362342243388592,0.0685506672668014,0.00229,0.20636,0.00021,0.24317,0.0,0.30753
70,177,35,0.00529,0.16614,,0.20329,0.05114558622712205,0.06772230952979019,0.00014,0.28029,0.0,0.341,0.0,0.45943
