Winsize,n_Peaks,Overlap,Target_Zone,Time,DB_Size
10,0,0,8,1:22:49,2M
10,0,0,16,1:25:51,2M
10,0,0,32,1:23:11,2M
10,0,0,64,1:17:39,2M
10,0,3,8,1:28:39,2M
10,0,3,16,1:31:05,2M
10,0,3,32,1:28:58,2M
10,0,3,64,1:30:39,2M
10,0,5,8,1:55:54,2M
10,0,5,16,1:53:49,2M
10,0,5,32,1:52:51,2M
10,0,5,64,1:52:20,2M
10,0,8,8,2:56:33,3M
10,0,8,16,2:55:59,3M
10,0,8,32,2:57:35,3M
10,0,8,64,2:54:11,3M
10,0,9,8,4:40:16,5M
10,0,9,16,4:41:23,5M
10,0,9,32,4:42:53,5M
10,0,9,64,4:41:44,5M
10,3,0,8,1:26:30,2M
10,3,0,16,1:25:51,2M
10,3,0,32,1:25:15,2M
10,3,0,64,1:27:10,2M
10,3,3,8,1:30:13,2M
10,3,3,16,1:30:14,2M
10,3,3,32,1:29:06,2M
10,3,3,64,1:29:54,2M
10,3,5,8,1:52:13,2M
10,3,5,16,1:52:04,2M
10,3,5,32,1:52:50,2M
10,3,5,64,1:56:29,2M
10,3,8,8,3:01:04,3M
10,3,8,16,3:03:56,3M
10,3,8,32,3:01:00,3M
10,3,8,64,2:58:48,3M
10,3,9,8,4:38:49,5M
10,3,9,16,4:44:31,5M
10,3,9,32,4:41:58,5M
10,3,9,64,4:42:32,5M
10,5,0,8,1:26:55,2M
10,5,0,16,1:26:16,2M
10,5,0,32,1:27:17,2M
10,5,0,64,1:25:44,2M
10,5,3,8,1:33:41,2M
10,5,3,16,1:32:01,2M
10,5,3,32,1:30:38,2M
10,5,3,64,1:31:13,2M
10,5,5,8,1:44:11,2M
10,5,5,16,1:46:07,2M
10,5,5,32,1:53:52,2M
10,5,5,64,1:52:28,2M
10,5,8,8,3:04:01,3M
10,5,8,16,3:03:40,3M
10,5,8,32,3:02:45,3M
10,5,8,64,3:04:48,3M
10,5,9,8,4:39:53,5M
10,5,9,16,4:40:16,5M
10,5,9,32,4:40:54,5M
10,5,9,64,4:40:46,5M
20,0,0,8,1:08:33,6M
20,0,0,16,1:08:05,7M
20,0,0,32,1:08:27,8M
20,0,0,64,1:08:02,8M
20,0,10,8,1:19:56,11M
20,0,10,16,1:21:08,12M
20,0,10,32,1:20:29,15M
20,0,10,64,1:20:12,19M
20,0,15,8,1:46:36,19M
20,0,15,16,1:49:48,23M
20,0,15,32,1:47:03,30M
20,0,15,64,1:49:37,41M
20,0,19,8,5:10:00,67M
20,0,19,16,5:05:08,100M
