Window_Size,Overlap,Selected_Peaks,Median_Hits,Average_Hits,Self_Matches,Unique_Self_Matches
10,5,0,1.0,4.1,217,184
10,5,3,1.0,4.1,217,184
10,5,5,1.0,4.1,217,184
10,8,0,1.0,1.61,217,196
10,8,3,1.0,1.61,217,196
10,8,5,1.0,1.61,217,196
10,9,0,1.0,1.53,217,202
10,9,3,1.0,1.53,217,202
10,9,5,1.0,1.53,217,202
15,12,0,1.0,21.41,217,125
15,12,3,1.0,21.41,217,125
15,12,5,1.0,21.41,217,125
15,14,0,1.0,3.97,217,174
15,14,3,1.0,3.97,217,174
15,14,5,1.0,3.97,217,174
15,8,0,14.0,133.71,217,58
15,8,3,14.0,133.71,217,58
15,8,5,14.0,133.71,217,58
20,10,0,531.0,495.0,217,3
20,10,3,531.0,495.0,217,3
20,10,5,531.0,495.0,217,3
20,15,0,254.0,248.72,217,6
20,15,3,254.0,248.72,217,6
20,15,5,254.0,248.72,217,6
20,16,0,203.0,199.59,217,7
20,16,3,203.0,199.59,217,7
20,16,5,203.0,199.59,217,7
20,18,0,95.0,97.74,217,11
20,18,3,95.0,97.74,217,11
20,18,5,95.0,97.74,217,11
25,13,0,635.0,606.24,217,0
25,13,3,635.0,606.24,217,0
25,13,5,635.0,606.24,217,0
25,19,0,327.0,303.91,217,2
25,19,3,327.0,303.91,217,2
25,19,5,327.0,303.91,217,2
25,20,0,258.0,252.45,217,2
25,20,3,258.0,252.45,217,2
25,20,5,258.0,252.45,217,2
25,23,0,101.0,103.3,217,4
25,23,3,101.0,103.3,217,4
25,23,5,101.0,103.3,217,4
30,15,0,807.0,756.66,217,0
30,15,3,807.0,756.66,217,0
30,15,5,807.0,756.66,217,0
30,23,0,371.0,352.06,217,1
30,23,3,371.0,352.06,217,1
30,23,5,371.0,352.06,217,1
30,24,0,318.0,301.23,217,2
30,24,3,318.0,301.23,217,2
30,24,5,318.0,301.23,217,2
30,27,0,155.0,154.36,217,3
30,27,3,155.0,154.36,217,3
30,27,5,155.0,154.36,217,3
35,18,0,1000.0,836.18,217,0
35,18,3,1000.0,836.18,217,0
35,18,5,1000.0,836.18,217,0
35,27,0,432.0,403.83,217,1
35,27,3,432.0,403.83,217,1
35,27,5,432.0,403.83,217,1
35,28,0,384.0,364.59,217,2
35,28,3,384.0,364.59,217,2
35,28,5,384.0,364.59,217,2
35,32,0,158.0,152.77,217,3
35,32,3,158.0,152.77,217,3
35,32,5,158.0,152.77,217,3
40,20,0,1219.0,998.47,217,0
40,20,3,1219.0,998.47,217,0
40,20,5,1219.0,998.47,217,0
40,30,0,557.0,503.22,217,1
40,30,3,557.0,503.22,217,1
40,30,5,557.0,503.22,217,1
40,32,0,454.0,407.2,217,1
40,32,3,454.0,407.2,217,1
40,32,5,454.0,407.2,217,1
40,36,0,206.0,203.65,217,2
40,36,3,206.0,203.65,217,2
40,36,5,206.0,203.65,217,2
45,23,0,1285.0,1073.63,217,0
45,23,3,1285.0,1073.63,217,0
45,23,5,1285.0,1073.63,217,0
45,34,0,650.0,550.2,217,0
45,34,3,650.0,550.2,217,0
45,34,5,650.0,550.2,217,0
45,36,0,496.0,454.92,217,0
45,36,3,496.0,454.92,217,0
45,36,5,496.0,454.92,217,0
45,41,0,205.0,203.41,217,2
45,41,3,205.0,203.41,217,2
45,41,5,205.0,203.41,217,2
50,25,0,1537.0,1231.49,217,0
50,25,3,1537.0,1231.49,217,0
50,25,5,1537.0,1231.49,217,0
50,38,0,679.0,602.79,217,0
50,38,3,679.0,602.79,217,0
50,38,5,679.0,602.79,217,0
50,40,0,557.0,501.16,217,1
50,40,3,557.0,501.16,217,1
50,40,5,557.0,501.16,217,1
50,45,0,260.0,254.96,217,2
50,45,3,260.0,254.96,217,2
50,45,5,260.0,254.96,217,2
