Window_Size,N_Peaks,Overlap,Target_Zone,Median_Hits_Top_Score,Average_Hits,Self_Matches,Unique_Self_Matches,Mean_F1_Score,Mean_Precision,Mean_Liberal_F1_Score,Mean_Liberal_Precision,Mean_Sharpness,DB_Size_MB
10,3,0,6,3,340.68,143,58,0.0196211,0.0138667,0.0802927,0.101206,0.284414,1.08
10,0,0,6,3,340.68,143,58,0.0196211,0.0138667,0.0802927,0.101206,0.284414,1.08
10,5,0,6,3,340.68,143,58,0.0196211,0.0138667,0.0802927,0.101206,0.284414,1.08
10,5,0,5,3,357.76,143,58,0.019421,0.0137419,0.0792592,0.0960028,0.27814,1.06
10,0,0,5,3,357.76,143,58,0.019421,0.0137419,0.0792592,0.0960028,0.27814,1.06
10,3,0,5,3,357.76,143,58,0.019421,0.0137419,0.0792592,0.0960028,0.27814,1.06
10,0,0,3,4,372.24,143,55,0.0193627,0.013675,0.0810236,0.101926,0.264006,1.04
10,5,0,3,4,372.24,143,55,0.0193627,0.013675,0.0810236,0.101926,0.264006,1.04
10,3,0,3,4,372.24,143,55,0.0193627,0.013675,0.0810236,0.101926,0.264006,1.04
10,0,0,4,3,362.68,143,57,0.0193553,0.0136797,0.0846351,0.11354,0.270985,1.05
10,3,0,4,3,362.68,143,57,0.0193553,0.0136797,0.0846351,0.11354,0.270985,1.05
10,5,0,4,3,362.68,143,57,0.0193553,0.0136797,0.0846351,0.11354,0.270985,1.05
10,3,3,6,2,267.12,162,80,0.0177541,0.0122543,0.118501,0.138526,0.34883,1.25
10,0,3,6,2,267.12,162,80,0.0177541,0.0122543,0.118501,0.138526,0.34883,1.25
10,5,3,6,2,267.12,162,80,0.0177541,0.0122543,0.118501,0.138526,0.34883,1.25
10,3,3,5,2,276.73,162,78,0.0175598,0.0120774,0.117578,0.135582,0.33752,1.23
10,5,3,5,2,276.73,162,78,0.0175598,0.0120774,0.117578,0.135582,0.33752,1.23
10,0,3,5,2,276.73,162,78,0.0175598,0.0120774,0.117578,0.135582,0.33752,1.23
30,3,0,5,1,1.37,216,205,0.0175202,0.0099701,0.136189,0.125789,0.98717,24.57
30,5,0,5,1,1.37,216,205,0.0175201,0.00997006,0.136134,0.125757,0.98717,24.58
30,0,0,5,1,1.37,216,205,0.0175201,0.00997006,0.136139,0.12576,0.98717,24.58
30,3,0,6,1,1.37,216,205,0.0174961,0.00996118,0.136904,0.125748,0.987277,28.15
30,5,0,6,1,1.37,216,205,0.017496,0.00996114,0.136884,0.125736,0.987277,28.16
30,0,0,6,1,1.37,216,205,0.017496,0.00996114,0.136884,0.125736,0.987277,28.16
40,3,0,5,1,1.31,216,206,0.0174865,0.00986986,0.150933,0.139333,0.992423,54.05
40,0,0,5,1,1.31,216,206,0.0174861,0.00986968,0.150947,0.13934,0.992427,54.10
40,5,0,5,1,1.31,216,206,0.0174859,0.00986952,0.150946,0.13934,0.992427,54.10
40,3,0,6,1,1.31,216,206,0.0174794,0.00986628,0.152106,0.141021,0.992454,60.29
40,0,0,6,1,1.31,216,206,0.0174791,0.00986611,0.15226,0.14111,0.992458,60.34
40,5,0,6,1,1.31,216,206,0.0174788,0.00986595,0.152261,0.14111,0.992458,60.33
50,3,0,6,1,1.28,215,205,0.0174747,0.00978793,0.171952,0.16137,0.995276,93.51
50,3,0,5,1,1.28,215,205,0.0174747,0.00978793,0.170586,0.159953,0.995257,85.91
50,3,0,4,1,1.28,215,205,0.0174738,0.00978704,0.167699,0.156754,0.995131,69.47
50,0,0,6,1,1.28,215,205,0.0174734,0.00978674,0.172435,0.162058,0.995275,93.82
50,0,0,5,1,1.28,215,205,0.0174734,0.00978674,0.170884,0.160326,0.995256,86.20
50,5,0,6,1,1.28,215,205,0.0174728,0.00978637,0.172449,0.162065,0.995275,93.82
50,5,0,5,1,1.28,215,205,0.0174728,0.00978637,0.170889,0.160329,0.995256,86.19
10,3,3,4,2,281.06,162,76,0.0174726,0.0120051,0.11862,0.137091,0.326677,1.21
10,5,3,4,2,281.06,162,76,0.0174726,0.0120051,0.11862,0.137091,0.326677,1.21
10,0,3,4,2,281.06,162,76,0.0174726,0.0120051,0.11862,0.137091,0.326677,1.21
50,0,0,4,1,1.28,215,205,0.0174725,0.00978588,0.169374,0.159316,0.995125,69.71
50,5,0,4,1,1.28,215,205,0.0174719,0.00978551,0.169386,0.159323,0.995125,69.70
30,3,8,6,1,1.25,216,205,0.0174638,0.00980719,0.149094,0.136573,0.992535,46.03
30,5,8,6,1,1.25,216,205,0.0174637,0.00980713,0.149078,0.136564,0.992535,46.05
30,0,8,6,1,1.25,216,205,0.0174637,0.00980713,0.149077,0.136564,0.992535,46.05
40,3,0,4,1,1.31,216,206,0.0174593,0.00985151,0.147692,0.135966,0.992139,42.11
40,0,0,4,1,1.31,216,206,0.0174592,0.00985144,0.148178,0.136455,0.992144,42.16
40,5,0,4,1,1.31,216,206,0.0174589,0.00985129,0.148178,0.136455,0.992144,42.15
10,3,9,5,1,2.25,214,191,0.0174514,0.00975505,0.122474,0.115706,0.797541,4.54
10,5,9,5,1,2.25,214,191,0.0174514,0.00975505,0.122474,0.115706,0.797541,4.54
10,0,9,5,1,2.25,214,191,0.0174514,0.00975505,0.122474,0.115706,0.797541,4.54
10,3,9,4,1,2.26,214,191,0.0174514,0.00975465,0.121322,0.114756,0.793085,4.37
10,5,9,4,1,2.26,214,191,0.0174514,0.00975465,0.121322,0.114756,0.793085,4.37
10,0,9,4,1,2.26,214,191,0.0174514,0.00975465,0.121322,0.114756,0.793085,4.37
30,3,8,5,1,1.25,216,205,0.0174513,0.00979483,0.144797,0.13174,0.992321,37.47
30,5,8,5,1,1.25,216,205,0.0174512,0.00979478,0.144812,0.131748,0.992322,37.48
30,0,8,5,1,1.25,216,205,0.0174512,0.00979477,0.144812,0.131748,0.992322,37.48
10,3,9,3,1,2.26,214,191,0.0174472,0.00975204,0.122093,0.11516,0.787871,4.12
10,0,9,3,1,2.26,214,191,0.0174472,0.00975204,0.122093,0.11516,0.787871,4.12
10,5,9,3,1,2.26,214,191,0.0174472,0.00975204,0.122093,0.11516,0.787871,4.12
50,3,0,3,1,1.28,215,205,0.0174324,0.00975912,0.160366,0.150404,0.994377,46.43
50,0,0,3,1,1.28,215,205,0.0174315,0.00975821,0.159267,0.149215,0.994362,46.58
50,5,0,3,1,1.28,215,205,0.0174309,0.00975784,0.159272,0.149218,0.994362,46.57
10,3,3,3,2,295.27,162,76,0.0174117,0.0119657,0.121132,0.140934,0.325412,1.20
10,0,3,3,2,295.27,162,76,0.0174117,0.0119657,0.121132,0.140934,0.325412,1.20
10,5,3,3,2,295.27,162,76,0.0174117,0.0119657,0.121132,0.140934,0.325412,1.20
10,5,9,6,1,2.2,214,191,0.0174006,0.0097462,0.123779,0.116704,0.80654,4.79
10,0,9,6,1,2.2,214,191,0.0174006,0.0097462,0.123779,0.116704,0.80654,4.79
10,3,9,6,1,2.2,214,191,0.0174006,0.0097462,0.123779,0.116704,0.80654,4.79
30,3,0,4,1,1.37,216,205,0.017322,0.0098269,0.129162,0.121259,0.986029,19.06
30,5,0,4,1,1.37,216,205,0.017322,0.00982686,0.129153,0.121254,0.986029,19.07
30,0,0,4,1,1.37,216,205,0.017322,0.00982686,0.129152,0.121254,0.986029,19.07
20,0,5,6,1,1.28,216,203,0.01732,0.00993648,0.139807,0.139014,0.964523,11.21
20,5,5,6,1,1.28,216,203,0.01732,0.00993648,0.139807,0.139014,0.964523,11.21
20,3,5,6,1,1.28,216,203,0.01732,0.00993648,0.139806,0.139014,0.964523,11.21
20,3,10,6,1,1.2,216,205,0.0172596,0.00974803,0.134064,0.127386,0.981827,18.24
20,5,10,6,1,1.2,216,205,0.0172596,0.00974803,0.134064,0.127386,0.981827,18.24
20,0,10,6,1,1.2,216,205,0.0172596,0.00974803,0.134064,0.127386,0.981827,18.24
20,3,0,6,1,1.3,215,199,0.0172427,0.0100961,0.13937,0.142946,0.94048,7.94
20,5,0,6,1,1.3,215,199,0.0172427,0.0100961,0.139371,0.142947,0.94048,7.94
20,0,0,6,1,1.3,215,199,0.0172427,0.0100961,0.139371,0.142947,0.94048,7.94
20,5,5,5,1,1.28,216,203,0.0172328,0.00982003,0.134193,0.131813,0.961753,9.46
20,3,5,5,1,1.28,216,203,0.0172328,0.00982003,0.134194,0.131813,0.961753,9.46
20,0,5,5,1,1.28,216,203,0.0172328,0.00982003,0.134193,0.131813,0.961753,9.46
