Window_Size,N_Peaks,Overlap,Hash_Use_First_Appearance,Quantile,Average_F_Score,Average_Precision,avg(Family_Members/Match_Count),Runtime_match-family
50,3,0,True,.1,0.0025076,0.00405548,0.00276792,00:17
50,3,0,False,.1,0.0025076,0.00405548,0.00276792,00:15
50,3,13,True,.1,0.00168726,0.00248588,0.00198339,00:21
50,3,13,False,.1,0.00168726,0.00248588,0.00198339,00:16
50,3,25,True,.1,0.0016508,0.00218483,0.00196533,00:19
50,3,25,False,.1,0.0016508,0.00218483,0.00196533,00:26
40,3,0,True,.1,0.0015475,0.00210843,0.00189857,00:16
40,3,0,False,.1,0.0015475,0.00210843,0.00189857,00:17
50,3,0,False,.2,0.00152927,0.00155367,0.00159783,00:15
50,3,0,True,.2,0.00152927,0.00155367,0.00159783,00:15
50,5,0,False,.1,0.00148066,0.00184283,0.00179443,00:19
50,5,0,True,.1,0.00148066,0.00184283,0.00179443,00:18
40,3,10,True,.1,0.00128418,0.00161889,0.00150529,00:16
40,3,10,False,.1,0.00128418,0.00161889,0.00150529,00:17
50,3,13,False,.2,0.00119708,0.00111258,0.00121678,00:19
50,3,13,True,.2,0.00119708,0.00111258,0.00121678,00:18
50,3,0,True,.3,0.00118898,0.00111158,0.00124316,00:22
50,3,0,False,.3,0.00118898,0.00111158,0.00124316,00:19
50,5,13,True,.1,0.00116265,0.00113371,0.00128952,00:20
50,5,13,False,.1,0.00116265,0.00113371,0.00128952,00:21
30,3,8,False,.1,0.00106542,0.00116067,0.00133842,00:19
30,3,8,True,.1,0.00106542,0.00116067,0.00133842,00:19
40,3,20,False,.1,0.00103302,0.00104728,0.00117594,00:24
40,3,20,True,.1,0.00103302,0.00104728,0.00117594,00:19
30,3,0,True,.1,0.00099048,0.00111595,0.00120776,00:30
30,3,0,False,.1,0.00099048,0.00111595,0.00120776,00:22
50,3,38,True,.1,0.000988455,0.00094873,0.00111583,00:24
50,3,38,False,.1,0.000988455,0.00094873,0.00111583,00:23
40,5,0,False,.1,0.00094997,0.000941915,0.00111923,00:17
40,5,0,True,.1,0.00094997,0.000941915,0.00111923,00:18
50,5,0,True,.2,0.000945919,0.000880174,0.00108185,00:21
50,5,0,False,.2,0.000945919,0.000880174,0.00108185,00:22
50,5,25,False,.1,0.000937816,0.000906988,0.00109332,00:23
50,5,25,True,.1,0.000937816,0.000906988,0.00109332,00:22
50,3,25,True,.2,0.000929714,0.000832991,0.00102132,00:20
50,3,25,False,.2,0.000929714,0.000832991,0.00102132,00:34
40,3,0,True,.2,0.000917561,0.000812388,0.0010247,00:26
40,3,0,False,.2,0.000917561,0.000812388,0.0010247,00:23
50,3,13,False,.3,0.000864898,0.000658777,0.000865016,00:23
50,3,13,True,.3,0.000864898,0.000658777,0.000865016,00:23
40,5,10,False,.1,0.000820336,0.000895884,0.00100483,00:21
40,5,10,True,.1,0.000820336,0.000895884,0.00100483,00:19
50,3,0,True,.4,0.000804132,0.000699219,0.000887075,00:23
50,3,0,False,.4,0.000804132,0.000699219,0.000887075,00:22
50,3,25,True,.3,0.000798055,0.000615328,0.000851757,00:25
50,3,25,False,.3,0.000798055,0.000615328,0.000851757,00:23
30,5,8,True,.1,0.000791979,0.000769936,0.000998791,00:19
30,5,8,False,.1,0.000791979,0.000769936,0.000998791,00:23
30,3,15,True,.1,0.000765647,0.000722399,0.0009101,00:20
30,3,15,False,.1,0.000765647,0.000722399,0.0009101,00:19
40,3,0,True,.3,0.000729188,0.000590333,0.000803831,00:18
40,3,0,False,.3,0.000729188,0.000590333,0.000803831,00:19
40,3,10,False,.2,0.000727162,0.000652081,0.000841624,00:20
40,3,10,True,.2,0.000727162,0.000652081,0.000841624,00:22
40,3,30,False,.1,0.00070083,0.000557958,0.000778567,00:24
40,3,30,True,.1,0.00070083,0.000557958,0.000778567,00:22
40,5,20,True,.1,0.000692728,0.000545137,0.000782323,00:21
40,5,20,False,.1,0.000692728,0.000545137,0.000782323,00:21
30,3,8,False,.2,0.000664371,0.000547223,0.000785174,00:22
30,3,8,True,.2,0.000664371,0.000547223,0.000785174,00:21
40,3,20,False,.2,0.000656269,0.000454545,0.000709088,00:21
40,3,20,True,.2,0.000656269,0.000454545,0.000709088,00:23
50,5,13,False,.2,0.000654243,0.000515075,0.000742556,00:23
50,5,13,True,.2,0.000654243,0.000515075,0.000742556,00:23
50,5,0,False,.3,0.000648167,0.000520319,0.000749336,00:25
50,5,0,True,.3,0.000648167,0.000520319,0.000749336,00:24
20,3,0,False,.1,0.000640065,0.000704501,0.000939832,00:17
20,3,0,True,.1,0.000640065,0.000704501,0.000939832,00:18
50,5,25,True,.2,0.000603605,0.000460683,0.000705867,00:22
50,5,25,False,.2,0.000603605,0.000460683,0.000705867,00:22
30,5,0,False,.1,0.000595503,0.000547337,0.00074765,00:17
30,5,0,True,.1,0.000595503,0.000547337,0.00074765,00:18
30,5,15,True,.1,0.000591452,0.000462046,0.000705594,00:20
