Sample_ID,First_Match_Count,Sample_In_First_Matches,Sequence_Length,Sample_Hashes,Sample_JSI,Sample_Score,Top_JSI,Top_Score
A0A0P0XCU3,6,True,1875,125,1,125,1,125
E6Y2X0,1020,True,330,22,1,22,1,22
F4JAU3,696,True,299,20,1,20,1,20
F4JZY1,4,True,1586,106,1,106,1,106
G7KDA1,469,True,557,38,1,38,1,38
O04023,1020,True,324,22,1,22,1,22
O04482,1020,True,330,22,1,22,1,22
O65782,1825,True,499,34,1,34,1,34
P13114,916,True,395,27,1,27,1,27
P14654,1183,True,357,24,1,24,1,24
P20431,115,True,949,64,1,64,1,64
P24095,146,True,864,58,1,58,1,58
P48421,1825,True,502,34,1,34,1,34
P54150,931,True,258,18,1,18,1,18
P55233,864,True,522,35,1,35,1,35
Q05753,632,True,435,29,1,29,1,29
Q0J954,871,True,492,33,1,33,1,33
Q24JK4,1183,True,353,24,1,24,1,24
Q38951,440,True,587,40,1,40,1,40
Q39243,996,True,375,25,1,25,1,25
Q42572,167,True,790,53,1,53,1,53
Q43715,170,True,809,54,1,54,1,54
Q56WN1,1183,True,356,24,1,24,1,24
Q56Y74,242,True,663,45,1,45,1,45
Q5IBC5,4,True,2180,146,1,146,1,146
Q5Z807,981,True,390,26,1,26,1,26
Q66GQ5,579,True,540,36,1,36,1,36
Q6DBH0,765,True,444,30,1,30,1,30
Q6K271,317,True,738,50,1,50,1,50
Q76E23,7,True,1727,116,1,116,1,116
Q7XIT1,118,True,893,60,1,60,1,60
Q7XM13,696,True,289,20,1,20,1,20
Q7Y211,118,True,890,60,1,60,1,60
Q8GTY0,765,True,449,30,1,30,1,30
Q8GWE6,689,True,413,28,1,28,1,28
Q8H1Z0,228,True,632,43,1,43,1,43
Q8L4H4,94,True,925,62,1,62,1,62
Q8LB02,805,True,280,19,1,19,1,19
Q8RY25,72,True,1041,70,1,70,1,70
Q8VYI0,1028,True,98,7,1,7,1,7
Q8W191,971,True,149,10,1,10,1,10
Q93YQ1,19,True,1344,90,1,90,1,90
Q941I0,1020,True,323,22,1,22,1,22
Q949N0,489,True,549,37,1,37,1,37
Q9AST3,931,True,259,18,1,18,1,18
Q9C9C0,273,True,677,46,1,46,1,46
Q9FFZ1,871,True,484,33,1,33,1,33
Q9FUT3,273,True,678,46,1,46,1,46
Q9FX54,863,True,338,23,1,23,1,23
Q9LPC5,4,True,1750,117,1,117,1,117
Q9LTB0,226,True,752,51,1,51,1,51
Q9LVM5,1020,True,324,22,1,22,1,22
Q9M336,696,True,296,20,1,20,1,20
Q9M903,1052,True,479,32,1,32,1,32
Q9MA98,689,True,410,28,1,28,1,28
Q9S7B5,579,True,526,36,1,36,1,36
Q9SF86,689,True,418,28,1,28,1,28
Q9SMH5,9,True,4334,273,1,273,1,273
Q9SSA8,1183,True,358,24,1,24,1,24
Q9SU79,579,True,533,36,1,36,1,36
Q9XHV0,1020,True,320,22,1,22,1,22
Q9ZVQ3,1089,True,221,15,1,15,1,15
Q9ZW84,931,True,256,18,1,18,1,18
A2WKP3,1219,True,153,11,1,11,1,11
A2WWU2,971,True,139,10,1,10,1,10
B1NWD0,1183,True,353,24,1,24,1,24
B9G5N1,126,True,844,57,1,57,1,57
E2IHE0,170,True,808,54,1,54,1,54
F4HQD4,125,True,831,56,1,56,1,56
F4IV99,6,True,1724,115,1,115,1,115
M4HY05,146,True,857,58,1,58,1,58
O24282,1218,True,131,9,1,9,1,9
O81316,469,True,558,38,1,38,1,38
P04045,94,True,966,65,1,65,1,65
P09678,1219,True,152,11,1,11,1,11
P22197,1183,True,358,24,1,24,1,24
P27608,489,True,542,37,1,37,1,37
P29756,871,True,492,33,1,33,1,33
P37841,931,True,265,18,1,18,1,18
P86799,62,True,13,11,1,11,1,11
P93841,916,True,401,27,1,27,1,27
P94017,225,True,692,47,1,47,1,47
Q2QMN7,871,True,484,33,1,33,1,33
Q39065,1103,True,170,12,1,12,1,12
Q42966,1183,True,348,24,1,24,1,24
Q5C9L7,1183,True,350,24,1,24,1,24
Q6QPM2,1089,True,211,15,1,15,1,15
Q7Y1C5,33,True,1151,77,1,77,1,77
Q8VYN6,579,True,537,36,1,36,1,36
Q8VYU3,749,True,456,31,1,31,1,31
Q944N8,689,True,418,28,1,28,1,28
Q94BZ7,294,True,732,49,1,49,1,49
Q94KJ7,440,True,592,40,1,40,1,40
Q9ATY5,10,True,1479,99,1,99,1,99
Q9FFQ5,764,True,308,21,1,21,1,21
Q9FLC8,579,True,529,36,1,36,1,36
Q9FXH5,916,True,393,27,1,27,1,27
Q9LFF6,971,True,138,10,1,10,1,10
Q9LXL5,170,True,808,54,1,54,1,54
Q9SAF1,632,True,427,29,1,29,1,29
Q9SCV9,146,True,856,58,1,58,1,58
Q9STK6,864,True,516,35,1,35,1,35
Q9STS3,446,True,579,39,1,39,1,39
Q9ZSI1,899,True,255,17,1,17,1,17
Q9ZUB3,863,True,334,23,1,23,1,23
Q9ZUR7,1052,True,468,32,1,32,1,32
A0A096SRM5,1052,True,475,32,1,32,1,32
