Sample_ID,First_Match_Count,Sample_In_First_Matches,Sequence_Length,Sample_Hashes,Sample_JSI,Sample_Score,Top_JSI,Top_Score
A0A0P0XCU3,1,True,1875,272,1,272,1,272
E6Y2X0,1,True,330,88,1,88,1,88
F4JAU3,1,True,299,79,1,79,1,79
F4JZY1,1,True,1586,272,1,272,1,272
G7KDA1,1,True,557,147,1,147,1,147
O04023,1,True,324,80,1,80,1,80
O04482,1,True,330,87,1,87,1,87
O65782,1,True,499,134,1,134,1,134
P13114,1,True,395,106,1,106,1,106
P14654,1,True,357,96,1,96,1,96
P20431,1,True,949,255,1,255,1,255
P24095,1,True,864,231,1,231,1,231
P48421,1,True,502,134,1,134,1,134
P54150,1,True,258,68,1,68,1,68
P55233,1,True,522,139,1,139,1,139
Q05753,1,True,435,115,1,115,1,115
Q0J954,1,True,492,130,1,130,1,130
Q24JK4,1,True,353,93,1,93,1,93
Q38951,1,True,587,156,1,156,1,156
Q39243,1,True,375,100,1,100,1,100
Q42572,1,True,790,211,1,211,1,211
Q43715,1,True,809,215,1,215,1,215
Q56WN1,1,True,356,95,1,95,1,95
Q56Y74,1,True,663,175,1,175,1,175
Q5IBC5,1,True,2180,272,1,272,1,272
Q5Z807,1,True,390,104,1,104,1,104
Q66GQ5,1,True,540,143,1,143,1,143
Q6DBH0,1,True,444,120,1,120,1,120
Q6K271,1,True,738,196,1,196,1,196
Q76E23,1,True,1727,272,1,272,1,272
Q7XIT1,1,True,893,239,1,239,1,239
Q7XM13,1,True,289,78,1,78,1,78
Q7Y211,1,True,890,233,1,233,1,233
Q8GTY0,4,True,449,120,1,120,1,120
Q8GWE6,1,True,413,110,1,110,1,110
Q8H1Z0,1,True,632,165,1,165,1,165
Q8L4H4,1,True,925,247,1,247,1,247
Q8LB02,1,True,280,76,1,76,1,76
Q8RY25,1,True,1041,272,1,272,1,272
Q8VYI0,1,True,98,27,1,27,1,27
Q8W191,1,True,149,40,1,40,1,40
Q93YQ1,1,True,1344,272,1,272,1,272
Q941I0,1,True,323,88,1,88,1,88
Q949N0,1,True,549,145,1,145,1,145
Q9AST3,1,True,259,71,1,71,1,71
Q9C9C0,1,True,677,179,1,179,1,179
Q9FFZ1,1,True,484,129,1,129,1,129
Q9FUT3,1,True,678,177,1,177,1,177
Q9FX54,1,True,338,91,1,91,1,91
Q9LPC5,1,True,1750,272,1,272,1,272
Q9LTB0,1,True,752,198,1,198,1,198
